CR|Sucursal|División|Zona
1367|GRAN PLAZA CANCUN|SURESTE|CANCUN
1368|ZENTRALIA|REGIONAL OCCIDENTE|COLIMA
1395|ARBOLEDAS|NORESTE|MONTERREY VALLE
1396|PLAZA AKROPOLIS|SURESTE|MERIDA PONIENTE
1407|PLAZA ODARA|SURESTE|MERIDA ORIENTE
1408|PLAZA UBIKA JURIQUILLA|BAJIO|QUERETARO PONIENTE
1409|PUERTA LA VICTORIA|BAJIO|QUERETARO ORIENTE
1417|PUNTO SUR|OCCIDENTE|GUADALAJARA DEL SOL
1423|VIA CORDILLERA|NORESTE|MONTERREY VALLE
1510|IPN ZACATENCO|Metro Norte|Gustavo A. Madero 1
1522|PUNTO VALLE|NORESTE|MONTERREY VALLE
3369|BICENTENARIO AZCAPOTZALCO|Metro Norte|Toreo 2
3428|ATIZAPAN|Metro Norte|Tlalnepantla 1
3432|San Antonio Abad|METROPOLITANA SUR|VIADUCTO
3443|LOMAS VERDES 414|Metro Norte|Toreo 3
3467|SANDALO|Metro Norte|Vallejo 2
3480|AVILA CAMACHO|Metro Norte|Toreo 1
3487|AUCHAN SATELITE|Metro Norte|Satelite 1
3497|SAN JUAN DE ARAGON|Metro Norte|Gustavo A. Madero 2
3544|CENTRO MÉDICO|METROPOLITANA SUR|VIADUCTO
3559|TECNOLOGICO DE MONTERREY|Metro Norte|Tlalnepantla 3
3576|BODEGA AURRERA SANTA FÉ BELEM|METROPOLITANA SUR|INSURGENTES
3593|IBM DE MËXICO|METROPOLITANA SUR|SANTA FE
3617|BELLAVISTA SATELITE|Metro Norte|Satelite 3
3634|SEGUROS MONTERREY|Metro Norte|Reforma 2
3654|CULHUACAN|METROPOLITANA SUR|IZTAPALAPA
3711|TICOMAN|Metro Norte|Vallejo 3
3742|PUEBLA LA MARGARITA|SUR|PUEBLA CENTRO
3744|PUEBLA VW|SUR|PUEBLA PERIFERIA
3747|PUEBLA MAYORAZGO|SUR|PUEBLA CENTRO
3770|MONTERREY UNIVERSIDAD|NORESTE|MONTERREY SAN NICOLAS
3822|MONTERREY CAMPUS TEC|NORESTE|MONTERREY SUR
3850|NUEVO LAREDO JARDIN|NORESTE|TAMAULIPAS NORTE
3873|BASILICA|OCCIDENTE|GUADALAJARA ZAPOPAN
3874|TLAQUEPAQUE NUEVA CENTRAL CAMIONERA|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
3909|TLAQUEPAQUE ITESO|OCCIDENTE|GUADALAJARA DEL SOL
3982|GONZALEZ ORTEGA|NOROESTE|MEXICALI
3985|VISTA HERMOSA Mexicali|NOROESTE|MEXICALI
4130|INSURGENTES POTRERO|Metro Norte|Gustavo A. Madero 3
4260|TOLUCA CHRYSLER|Metro Norte|Toluca Centro 1
4449|MERIDA MERCADO|SURESTE|MERIDA PONIENTE
4466|ZARAGOZA|NOROESTE|JUAREZ
4601|CAMPECHE CENTRAL|SURESTE|CAMPECHE
4602|TEPIC XALISCO|REGIONAL OCCIDENTE|NAYARIT
4605|TELEFÓNICA MOVISTAR|METROPOLITANA SUR|SANTA FE
4609|LA PAZ COLOSIO|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
4611|MINATITLAN REFINERIA|SUR|COATZACOALCOS
4615|VILLAHERMOSA GUAYABAL|SURESTE|VILLAHERMOSA SUR
4617|SUN MALL PABLO LIVAS|NORESTE|GUADALUPE
4631|JIUTEPEC MOCTEZUMA|SUR|MORELOS SUR
4634|LA RAZA|Metro Norte|Vallejo 2
4638|METROPOLI PATRIOTISMO|METROPOLITANA SUR|DEL VALLE
4650|URIANGATO GALERÍAS|BAJIO|IRAPUATO
4658|TEC CAMPUS GUADALAJARA|OCCIDENTE|GUADALAJARA ZAPOPAN
4659|MÓDULO PEMEX TUXPAN|SUR|
4667|MÓDULO VW PONIENTE|SUR|PUEBLA PERIFERIA
4675|PABELLON CUMBRES CANCUN|SURESTE|CANCUN
4679|SECRETARIA DE EDUCACION JALISCO|OCCIDENTE|GUADALAJARA ZAPOPAN
4687|PLAZA MILLENIUM|BAJIO|QUERETARO ORIENTE
4694|PLAZA DE LOS NARANJOS|BAJIO|LEON SUR
4698|CHETUMAL PLAZA BAHIA|SURESTE|CANCUN
4733|GALERIAS CELAYA|BAJIO|CELAYA
4742|GALERIAS MONTERREY|NORESTE|MONTERREY VALLE
4758|PLAZA ARBOLEDAS PACHUCA|BAJIO|PACHUCA NORTE
4760|INDUSTRIAL 8 DE JULIO|OCCIDENTE|GUADALAJARA INDUSTRIAL
4765|GRAN PATIO TLAXCALA|SUR|TLAXCALA
4767|BOULEVARD ACAPULCO|NORESTE|GUADALUPE
4778|HEB LA PUERTA|NORESTE|MONTERREY VALLE
4787|CITADELLA|BAJIO|SAN LUIS POTOSI URBANAS
4790|ZONA AZUL SATÉLITE|Metro Norte|Satelite 2
4793|PLAZA LAS AMERICAS|REGIONAL OCCIDENTE|URUAPAN
5003|VICENTE GUERRERO|Metro Norte|Toluca Centro 1
5004|REYNOSA PLAZA JUAREZ|NORESTE|TAMAULIPAS NORTE
5008|TULANCINGO LA FUENTE|BAJIO|PACHUCA SUR
5015|CULIACAN TRES RIOS|REGIONAL NOROESTE|CULIACAN
5024|METEPEC SAN ISIDRO|Metro Norte|Toluca Sur 1
5031|LAS AMERICAS CHETUMAL|SURESTE|CANCUN
5032|NUEVO MEXICALI|NOROESTE|MEXICALI
5039|PUEBLA XILOTZINGO|SUR|PUEBLA CENTRO
5040|MERIDA FRANCISCO DE MONTEJO|SURESTE|MERIDA PONIENTE
5051|NOGALES EL GRECO|REGIONAL NOROESTE|SONORA NORTE
5053|ACAPULCO DIAMANTE|SUR|ACAPULCO
5057|CANCUN KABAH|SURESTE|CANCUN
5065|GALERIAS VALLE ORIENTE|NORESTE|MONTERREY VALLE
5073|SORIANA SAN JOAQUIN|SURESTE|VILLAHERMOSA SUR
5082|San Pedro Mártir|METROPOLITANA SUR|COAPA
5095|SAN JOSE DEL CABO SANTA ROSA|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
5113|PARRAL ALTAVISTA|NOROESTE|CHIHUAHUA FORANEAS
5180|AZTECAS UDLA|SUR|PUEBLA NORTE
5194|CETYS|NOROESTE|MEXICALI
5204|PLAZA LUCIERNAGA SM ALLENDE|BAJIO|GUANAJUATO
5246|DEL LAG|SURESTE|CAMPECHE
5248|SAN JOSE DEL CABO PENINSULA|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
5249|LA MOREÑA|REGIONAL OCCIDENTE|OCOTLAN
5256|PLAZA SENDERO MATAMOROS|NORESTE|TAMAULIPAS NORTE
5275|PLAZA MILENIUM|Metro Norte|Tlalnepantla 2
5279|DOMINGO DIEZ|SUR|MORELOS NORTE
5290|TOLUCA OCHO CEDROS|Metro Norte|Toluca Sur 2
5303|NISSAN|BAJIO|AGUASCALIENTES
5305|COCA COLA|METROPOLITANA SUR|LOMAS
5327|CD. DEL CARMEN MARINA PEMEX|SURESTE|CAMPECHE
5335|SALTILLO ABASTOS|NORESTE|SALTILLO
5351|MONCLOVA GALERIAS|NORESTE|COAHUILA NORTE
5382|MANZANILO PRINCIPAL|REGIONAL OCCIDENTE|COLIMA
5391|TAPACHULA BOULEVARD COMERCIO|SURESTE|TAPACHULA
5410|CHIHUAHUA CC MIRADOR|NOROESTE|CHIHUAHUA PLAZA
5423|HIDALGO DEL PARRAL GLORIETA|NOROESTE|CHIHUAHUA FORANEAS
5508|CELAYA JARDINES|BAJIO|CELAYA
5544|ACAPULCO CUAUHTEMOC|SUR|ACAPULCO
5617|MORELIA INDUSTRIA|REGIONAL OCCIDENTE|MORELIA PONIENTE
5654|MERCADO TEPIC|REGIONAL OCCIDENTE|NAYARIT
5762|CANCUN PLAZA PORTALES|SURESTE|CANCUN
5765|PLAYA DEL CARMEN OFNA PRINCIPAL|SURESTE|CANCUN
5807|HERMOSILLO OCOTILLO|REGIONAL NOROESTE|HERMOSILLO
5812|HERMOSILLO OLIVARES|REGIONAL NOROESTE|HERMOSILLO
5838|VILLAHERMOSA GALERIAS|SURESTE|VILLAHERMOSA NORTE
5859|TAMPICO MERCADOS|NORESTE|TAMAULIPAS SUR
5865|PLAZA ALTAMA|NORESTE|TAMAULIPAS SUR
5871|MÓDULO ADUANAL ALTAMIRA TAMAULIPAS|NORESTE|TAMAULIPAS SUR
5906|VERACRUZ MODULO ADUANAL RECINTO PORTUARIO|SUR|VERACRUZ
5934|MERIDA COMERCIO|SURESTE|MERIDA PONIENTE
5967|GUADALUPE CENTRO|BAJIO|ZACATECAS
6558|IXTLAHUACA|Metro Norte|Toluca Norte 2
6566|MEX. OCOYOACAC|Metro Norte|Toluca Norte 1
6603|TIJUANA UNIVERSIDAD|NOROESTE|TIJUANA PLAZA
6614|CD. JUAREZ MODULO ADUANA PUENTE CORDOVA|NOROESTE|JUAREZ
6758|URUAPAN BENITO JUAREZ|REGIONAL OCCIDENTE|URUAPAN
6812|CABO SAN LUCAS OFNA. PRINCIPAL|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
6865|CHIHUAHUA 2000|NOROESTE|CHIHUAHUA PLAZA
