CR|Sucursal|División|Zona
0642|CD. OBREGON NAINARI|REGIONAL NOROESTE|SONORA SUR
0644|MAZATLAN PLAZA LAS AMERICAS|REGIONAL NOROESTE|SINALOA SUR
0653|CANANEA JUAREZ|REGIONAL NOROESTE|SONORA NORTE
0657|HERMOSILLO COLOSIO|REGIONAL NOROESTE|HERMOSILLO
0662|TIJUANA LAS HUERTAS|NOROESTE|TIJUANA PLAZA
0672|CULIACAN INSURGENTES|REGIONAL NOROESTE|CULIACAN
0676|TIJUANA SALINAS|NOROESTE|TIJUANA PLAZA
0678|NOGALES SUR|REGIONAL NOROESTE|SONORA NORTE
0693|SANTIAGO TIANGUISTENGO|METROPOLITANA NORTE|TOLUCA SUR
0700|CAMPOS ELISEOS|METROPOLITANA SUR|LOMAS
0702|MATAMOROS BRAVO PRIMERA|NORESTE|TAMAULIPAS NORTE
0717|BUGAMBILIAS|OCCIDENTE|GUADALAJARA DEL SOL
0718|CORDOBA PLAZA 11|SUR|XALAPA
0720|PARQUE INDUSTRIAL BERNARDO QUINTANA|BAJIO|QUERETARO PONIENTE
0721|TRANSITO PERIFERICO|REGIONAL OCCIDENTE|MORELIA PONIENTE
0727|PEDRO INFANTE|REGIONAL NOROESTE|CULIACAN
0728|PLAZA RIO SAN JOAQUIN|METROPOLITANA NORTE|TOREO
0731|PARQUES POLANCO|METROPOLITANA NORTE|POLANCO
0738|ZAVALETA|SUR|PUEBLA SUR
0739|PABELLON M|NORESTE|MONTERREY SUR
0742|PARQUE TOREO|METROPOLITANA NORTE|TOREO
0747|LOMA LARGA|NORESTE|MONTERREY VALLE
0748|ESTADIO|NORESTE|GUADALUPE
0750|CD. VICTORIA CARRERA|NORESTE|TAMAULIPAS SUR
0765|PLAZA LA CANTERA|REGIONAL OCCIDENTE|NAYARIT
0766|GALERIAS TOLUCA|METROPOLITANA NORTE|TOLUCA CENTRO
0780|TAMPICO ALTAMIRA Y COLON|NORESTE|TAMAULIPAS SUR
0782|TAMPICO LOMAS|NORESTE|TAMAULIPAS SUR
0786|PLAZA AEROPUERTO MONTERREY|NORESTE|MONTERREY SAN NICOLAS
0795|MARINA MAZATLAN|REGIONAL NOROESTE|SINALOA SUR
0796|OBREGON 200|REGIONAL NOROESTE|SONORA SUR
0798|PLAZA APIZACO|SUR|TLAXCALA
0800|ZENTRALIA CIUDAD DEL CARMEN|SURESTE|CAMPECHE
0802|MERIDA ZONA INDUSTRIAL|SURESTE|MERIDA ORIENTE
0803|MERIDA VILLAS DE LA HACIENDA|SURESTE|MERIDA PONIENTE
0808|MERIDA PLAZA DORADA|SURESTE|MERIDA PONIENTE
0850|CANCUN AV. TULUM|SURESTE|CANCUN
0851|CANCUN ZONA HOTELERA|SURESTE|CANCUN
0855|MERIDA PLAZA ORIENTE|SURESTE|MERIDA ORIENTE
0856|MERIDA PLAZA FIESTA|SURESTE|MERIDA ORIENTE
0858|VILLAHERMOSA CD. DEPORTIVA|SURESTE|VILLAHERMOSA SUR
0868|SORIANA FRESNILLO|BAJIO|ZACATECAS
0872|TENIXTEPEC|BAJIO|GUANAJUATO
0875|PLAZA LORETO|SUR|PUEBLA PERIFERIA
0879|MEXICO - TACUBA|METROPOLITANA NORTE|REFORMA
0881|IMSS MAZATLAN|REGIONAL NOROESTE|SINALOA SUR
0882|FERNANDO BAEZA|NOROESTE|CHIHUAHUA FORANEAS
0887|CAMPUS NORTE|NOROESTE|CHIHUAHUA PLAZA
0893|PLAZA CRYSTAL TEZIUTLAN|SUR|PUEBLA PERIFERIA
0894|PLAZA FLORIDA|SUR|COATZACOALCOS
0896|TERAN|SURESTE|TUXTLA
0897|ARKANA NORTE|METROPOLITANA NORTE|TULTITLAN
0898|PASEO SAN ISIDRO|REGIONAL NOROESTE|CULIACAN
0902|PARQUE KABAH|SURESTE|CANCUN
0911|INSURGENTES|REGIONAL OCCIDENTE|NAYARIT
0928|HERMOSILLO PLAZA QUIROGA|REGIONAL NOROESTE|HERMOSILLO
0947|PLAZA AMERICAS|METROPOLITANA SUR|COAPA
0948|REPUBLICA DE BRASIL|METROPOLITANA SUR|CENTRO
0949|PUERTO INTERIOR SILAO|BAJIO|LEON SUR
0962|MODULO GARITA NOGALES|REGIONAL NOROESTE|SONORA NORTE
0964|EL CHAPARRAL|NOROESTE|TIJUANA PLAZA
1001|CENTRO COMERCIAL DEL SOL|OCCIDENTE|GUADALAJARA DEL SOL
1003|ZAPOPAN GLORIETA CHAPALITA|OCCIDENTE|GUADALAJARA DEL SOL
1004|GUADALAJARA COLON INDUSTRIAL|OCCIDENTE|GUADALAJARA INDUSTRIAL
1011|LA GRAN PLAZA|OCCIDENTE|GUADALAJARA VALLARTA
1015|GUADALAJARA JARDINES DE LA CRUZ|OCCIDENTE|GUADALAJARA INDUSTRIAL
1017|HERMOSA PROVINCIA|OCCIDENTE|GUADALAJARA ORIENTE
1018|SAN ONOFRE|OCCIDENTE|GUADALAJARA ORIENTE
1021|CIRCUNVALACION OBLATOS|OCCIDENTE|GUADALAJARA ORIENTE
1025|EXPERIENCIA|OCCIDENTE|GUADALAJARA CENTRO
1028|GUADALAJARA MERCADO DE ABASTOS|OCCIDENTE|GUADALAJARA INDUSTRIAL
1029|MERCADO ALDAMA|OCCIDENTE|GUADALAJARA ORIENTE
1032|ARCOS VALLARTA|OCCIDENTE|GUADALAJARA VALLARTA
1047|HEROES FERROCARRILEROS|OCCIDENTE|GUADALAJARA INDUSTRIAL
1053|FRESNO|OCCIDENTE|GUADALAJARA INDUSTRIAL
1055|COLINAS DE LA NORMAL|OCCIDENTE|GUADALAJARA CENTRO
1057|CENTRAL CAMIONERA|OCCIDENTE|GUADALAJARA CENTRO
1058|SANTA TERESITA|OCCIDENTE|GUADALAJARA VALLARTA
1059|CENTRO MEDICO|OCCIDENTE|GUADALAJARA ORIENTE
1060|JUAREZ|OCCIDENTE|GUADALAJARA CENTRO
1061|JAVIER MINA|OCCIDENTE|GUADALAJARA CENTRO
1062|GLORIETA LA NORMAL|OCCIDENTE|GUADALAJARA CENTRO
1066|TLAQUEPAQUE PLAZA RIO NILO|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
1069|GUADALAJARA COLONIA ATLAS|OCCIDENTE|GUADALAJARA INDUSTRIAL
1071|SANTA CECILIA|OCCIDENTE|GUADALAJARA ORIENTE
1072|REVOLUCION|OCCIDENTE|GUADALAJARA CENTRO
1076|MERCADO DEL CAMPESINO|OCCIDENTE|GUADALAJARA ORIENTE
1080|ZAPOPAN PATRIA TEPEYAC|OCCIDENTE|GUADALAJARA DEL SOL
1086|SANTA MARGARITA|OCCIDENTE|GUADALAJARA ZAPOPAN
1093|CULIACAN BOULEVARD MADERO|REGIONAL NOROESTE|CULIACAN
1095|SAMARA|METROPOLITANA SUR|SANTA FE
1104|VIA VALLEJO|METROPOLITANA NORTE|VALLEJO
1129|EL EDEN DURANGO|NORESTE|DURANGO
1140|NVO LAREDO MODULO ADUANAL PEQUEÑA IMPORTACION|NORESTE|TAMAULIPAS NORTE
1142|TORREON MODULO ADUANAL|NORESTE|LA LAGUNA
1143|NOGALES MODULO ADUANAL GARITA MARIPOSA|REGIONAL NOROESTE|SONORA NORTE
1144|CHIHUAHUA MODULO ADUANAL AEROPUERTO|NOROESTE|CHIHUAHUA PLAZA
1146|CHIHUAHUA MODULO ADUANAL FORD|NOROESTE|CHIHUAHUA PLAZA
1147|CD JUAREZ M.A. PUENTE INTERNAC. ZARAGOZA|NOROESTE|JUAREZ
1150|CANCUN MODULO ADUANAL|SURESTE|CANCUN
1152|AGUASCALIENTES MODULO ADUANAL|BAJIO|AGUASCALIENTES
