ATM|FALLA|CAUSA|FECHA_INICIO|HORA_INICIO|FRACCION_HRS_F|HRS_FUERA|FAULTID|VENTANA
9902|Fallas Otras causas|Reincidencia modulo / TFS|2020-04-08|15:50:14|0|5|202|Mantenimiento Tecnico
9904|Contingencia|Sin atencion por contingencia|2020-04-06|16:56:00|0.899|51|2364|Contingencia
9971|Fallas Otras causas|Sin efectivo|2020-04-08|20:17:03|0.55|0|1063106300009|Sin Efectivo
A077|Contingencia|Sin atencion por contingencia|2020-04-01|15:37:49|0.216|172|2364|Contingencia
A097|Contingencia|Sin atencion por contingencia|2020-03-30|12:54:03|0.933|222|2364|Contingencia
A136|Contingencia|Sin atencion por contingencia|2020-04-08|10:14:31|0.599|10|2364|Contingencia
A138|Fallas Otras causas|Perdida de energia electrica en CR|2020-04-08|13:39:00|0.133|0|197|Falla por pérdida de energía
A166|Contingencia|Sin atencion por contingencia|2020-04-03|20:39:01|0.183|119|2364|Contingencia
A195|Contingencia|Sin atencion por contingencia|2020-04-02|10:44:33|0.099|153|2364|Contingencia
A272|Contingencia|Sin atencion por contingencia|2020-03-19|15:11:25|0.649|484|2364|Contingencia
A444|Contingencia|Sin atencion por contingencia|2020-04-01|11:00:15|0.833|176|2364|Contingencia
A460|Contingencia|Sin atencion por contingencia|2020-04-01|15:47:43|0.05|172|2364|Contingencia
A475|Contingencia|Sin atencion por contingencia|2020-04-07|11:31:42|0.316|33|2364|Contingencia
A525|Fallas Dispensador|Posible billete atorado en dispensador e104 / TFS|2020-04-08|14:05:02|0.75|6|202|Mantenimiento Tecnico
A544|Contingencia|Sin atencion por contingencia|2020-04-01|09:36:14|0.233|178|2364|Contingencia
A598|Contingencia|Sin atencion por contingencia|2020-03-30|12:32:02|0.3|223|2364|Contingencia
A625|Contingencia|Sin atencion por contingencia|2020-04-08|17:59:37|0.85|2|2364|Contingencia
A689|Fallas por Aplicativo|Reset ATM|2020-04-08|19:04:56|0.766|1|95|Recuperacion Manual
A810|Contingencia|Sin atencion por contingencia|2020-04-08|19:50:08|0|1|2364|Contingencia
A811|Contingencia|Sin atencion por contingencia|2020-04-08|19:48:01|0.033|1|2364|Contingencia
A812|Contingencia|Sin atencion por contingencia|2020-04-08|19:48:22|0.033|1|2364|Contingencia
A837|Contingencia|Sin atencion por contingencia|2020-03-26|14:57:04|0.883|316|2364|Contingencia
A942|Contingencia|Sin atencion por contingencia|2020-03-22|14:34:01|0.266|413|2364|Contingencia
A944|Contingencia|Sin atencion por contingencia|2020-03-22|14:34:26|0.266|413|2364|Contingencia
B109|Fallas Dispensador|Posible billete atorado en dispensador e074|2020-04-08|19:51:02|0.983|0|201|Recuperacion Manual
B206|Fallas Otras causas|Rec. Manual por Antiskimming|2020-04-08|18:59:01|0.85|1|8|Recuperacion Manual
B268|Fallas Dispensador|E114 Presentador con falla / TFS|2020-04-08|18:14:21|0.6|2|202|Mantenimiento Tecnico
B283|Contingencia|Sin atencion por contingencia|2020-04-07|08:50:25|0|36|2364|Contingencia
B466|Contingencia|Sin atencion por contingencia|2020-03-31|18:02:25|0.8|193|2364|Contingencia
B517|Contingencia|Sin atencion por contingencia|2020-04-08|15:01:58|0.816|5|2364|Contingencia
B525|Contingencia|Sin atencion por contingencia|2020-03-31|20:23:57|0.449|191|2364|Contingencia
B526|Contingencia|Sin atencion por contingencia|2020-04-03|23:34:01|0.266|116|2364|Contingencia
B649|Contingencia|Sin atencion por contingencia|2020-04-06|08:00:33|0.833|60|2364|Contingencia
B651|Contingencia|Sin atencion por contingencia|2020-04-01|09:37:21|0.216|178|2364|Contingencia
B669|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|20:09:58|0.683|0|216|Mantenimiento Tecnico
B677|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|20:13:11|0.616|0|216|Mantenimiento Tecnico
B686|Contingencia|Sin atencion por contingencia|2020-04-01|20:12:02|0.633|167|2364|Contingencia
B689|Contingencia|Sin atencion por contingencia|2020-04-08|08:31:14|0.316|12|2364|Contingencia
B935|Contingencia|Sin atencion por contingencia|2020-04-08|18:41:03|0.149|2|2364|Contingencia
C007|Contingencia|Sin atencion por contingencia|2020-04-08|19:41:01|0.149|1|2364|Contingencia
C211|Contingencia|Sin atencion por contingencia|2020-04-06|10:42:01|0.133|58|2364|Contingencia
C302|Contingencia|Sin atencion por contingencia|2020-04-08|16:21:37|0.483|4|2364|Contingencia
