SK|ATM|Marca|Modelo|Tipo_dispositivo|Tipo_monitor|Estatus_dispositivo|Sistema_Operativo|Denominacion_caseteros|Biometrico|Geolocaliza
97891871|9789|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.429637  -100.347791
97906062|9790|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 200 500 500|NO INSTALADO|20.563219  -101.199221
97916062|9791|DUTY|STUPIFYN|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|25.697283  -100.229816
97926062|9792|HARD|DESCENDIO22|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|25.712011  -100.317117
97936062|9793|HARD|DESCENDIO23|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.896804  -100.752454
97946062|9794|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|32.635953  -115.472987
97956643|9795|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|17.909301  -94.090609
97966062|9796|HARD|DESCENDIO23|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|32.634792  -115.452124
97976643|9797|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|17.909301  -94.090609
97986062|9798|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|20.882489  -89.748041
97995720|9799|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|18.450815  -95.215748
98006062|9800|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.415247  -99.178065
98016062|9801|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.364791  -99.189243
98026062|9802|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.358126  -99.152022
98036643|9803|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|17.909301  -94.090609
98046062|9804|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|22.254  -97.8542
98056643|9805|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|17.909301  -94.090609
98066062|9806|HARD|DESCENDIO22|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|19.384  -99.1773
98076643|9807|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|17.909301  -94.090609
98086062|9808|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.4223  -99.2056
98095324|9809|DUTY|STUPIFY|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.338067  -90.726051
98106062|9810|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.381771  -99.162626
98116062|9811|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.303737  -99.172447
98125324|9812|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.338067  -90.726051
98135324|9813|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.338067  -90.726051
98146062|9814|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|32.497634  -116.954293
98155074|9815|DUTY|NINBUS 800|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.402511  -99.155408
98166062|9816|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|21.753995  -100.938233
98176062|9817|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.291927  -99.656555
98186062|9818|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.428236  -87.295448
98194790|9819|DUTY|NINBUS 800|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.505859  -99.247095
98206862|9820|DUTY|STUPIFY|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO BBVA|19.8407  -98.981103
98211522|9821|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|25.659187  -100.35422
98221522|9822|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|25.659187  -100.35422
98236062|9823|DUTY|NINFUS 1000|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|21.17515  -86.874761
98246062|9824|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.685387  -103.329127
98256062|9825|STRONG|LEVIOSA 522|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.648  -105.219
98261522|9826|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|25.659187  -100.35422
98270244|9827|DUTY|NINBUS 800|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.840038  -98.032224
98284475|9828|STRONG|LEVIOSA 868|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|22.7429  -98.971501
98296062|9829|HARD|DESCENDIO23|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|32.605992  -115.433923
98305196|9830|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO BBVA|21.130984  -101.705371
98316062|9831|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|20.6477  -98.6558
98326062|9832|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|21.095689  -101.617097
98336062|9833|HARD|NOX|EFECTIBANCO||BAJA DEF|UNIX|||19.369755  -99.154117
98346062|9834|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.581144  -99.018744
98356062|9835|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.581144  -99.018744
98366062|9836|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.581144  -99.018744
